route_id,direction_id,direction,direction_destination
214216,1,Inbound,Quincy Center
215,0,Outbound,Quincy Center
215,1,Inbound,Ashmont
216,0,Outbound,Houghs Neck
216,1,Inbound,Quincy Center
217,0,Outbound,Quincy Center
217,1,Inbound,Ashmont
220,0,Outbound,Hingham Depot
220,1,Inbound,Quincy Center
221,0,Outbound,Fort Point
221,1,Inbound,Quincy Center
222,0,Outbound,East Weymouth
222,1,Inbound,Quincy Center
225,0,Outbound,Weymouth Landing
225,1,Inbound,Quincy Center
226,0,Outbound,Columbian Square
226,1,Inbound,Braintree
230,0,Outbound,Montello Commuter Rail Station
230,1,Inbound,Quincy Center
236,0,Outbound,South Shore Plaza
236,1,Inbound,Quincy Center
238,0,Outbound,Holbrook/Randolph Commuter Rail Station
238,1,Inbound,Quincy Center
240,0,Outbound,Avon Square
240,1,Inbound,Ashmont
245,0,Outbound,Quincy Center
245,1,Inbound,Mattapan
325,0,Outbound,Elm Street
325,1,Inbound,Haymarket
326,0,Outbound,West Medford
326,1,Inbound,Haymarket
350,0,Outbound,North Burlington
350,1,Inbound,Alewife
351,0,Outbound,Oak Park/Bedford Woods
351,1,Inbound,Alewife
352,0,Outbound,North Burlington
352,1,Inbound,Downtown Boston
354,0,Outbound,Burlington
354,1,Inbound,Downtown Boston
411,0,Outbound,Kennedy Drive or Jack Satter House
411,1,Inbound,Malden Center
424,0,Outbound,Eastern Avenue & Essex Street
424,1,Inbound,Wonderland
426,0,Outbound,"Central Square, Lynn"
426,1,Inbound,Haymarket or Wonderland
428,0,Outbound,Oaklandvale
428,1,Inbound,Haymarket
429,0,Outbound,Northgate Shopping Center
429,1,Inbound,"Central Square, Lynn"
430,0,Outbound,Saugus Center
430,1,Inbound,Malden Center
434,0,Outbound,"Main Street, Peabody"
434,1,Inbound,Haymarket
435,0,Outbound,Liberty Tree Mall
435,1,Inbound,"Central Square, Lynn or Neptune Towers"
436,0,Outbound,Liberty Tree Mall
436,1,Inbound,"Central Square, Lynn"
439,0,Outbound,"Bass Point, Nahant"
439,1,Inbound,"Wonderland or Central Square, Lynn"
441,0,Outbound,Marblehead
441,1,Inbound,Wonderland
441442,0,Outbound,"Central Square, Lynn"
441442,1,Inbound,Wonderland
442,0,Outbound,Marblehead
442,1,Inbound,Wonderland
450,0,Outbound,Salem Depot
450,1,Inbound,Haymarket or Wonderland
451,0,Outbound,North Beverly
451,1,Inbound,Salem Depot
455,0,Outbound,Salem Depot
455,1,Inbound,Wonderland
456,0,Outbound,Salem Depot
456,1,Inbound,"Central Square, Lynn"
465,0,Outbound,Danvers Square
465,1,Inbound,Salem Depot
501,0,Outbound,Brighton
501,1,Inbound,Downtown Boston
502,0,Outbound,Watertown Yard
502,1,Inbound,Copley
503,0,Outbound,Brighton
503,1,Inbound,Copley
504,0,Outbound,Watertown Yard
504,1,Inbound,Downtown Boston
505,0,Outbound,Waltham Center
505,1,Inbound,Downtown Boston
553,0,Outbound,Roberts
553,1,Inbound,Downtown Boston
554,0,Outbound,Waverley Square
554,1,Inbound,Downtown Boston
556,0,Outbound,Waltham Highlands
556,1,Inbound,Downtown Boston
558,0,Outbound,Riverside
558,1,Inbound,Downtown Boston
710,0,Outbound,North Medford
710,1,Inbound,"Medford Square, Meadow Glen Mall, or Wellington"
712,0,Outbound,"Point Shirley, Winthrop"
712,1,Inbound,Orient Heights
713,0,Outbound,"Point Shirley, Winthrop"
713,1,Inbound,Orient Heights
714,0,Outbound,"Pemberton Point, Hull"
714,1,Inbound,Hingham
716,0,Outbound,Cobbs Corner
716,1,Inbound,Mattapan
Shuttle-AlewifeHarvard,0,South,Ashmont/Braintree
Shuttle-AlewifeHarvard,1,North,Alewife
